Processor,Rating,AnTuTu Score
Dimensity 9400,98 A+,2656227
Snapdragon 8 Elite (Gen 4),98 A+,2797811
A18 Pro,97 A+,1839852
A18,95 A+,1673813
Dimensity 9300 Plus,93 A+,2111636
Snapdragon 8 Gen 3,93 A+,2058476
A17 Pro,93 A+,1529965
Dimensity 9300,92 A,2079810
A16 Bionic,90 A,1445672
Exynos 2400,87 A,1765220
Exynos 2400e,85 A,1750999
A15 Bionic,81 A,1298459
Snapdragon 8 Gen 2,80 A,1550117
Dimensity 9200 Plus,79 A,1502963
Dimensity 9200,79 A,1482965
Snapdragon 8s Gen 3,77 A,1491716
Snapdragon 7 Plus Gen 3,75 A,1404534
Dimensity 8300,71 A,1401162
A14 Bionic,71 A,1091814
Tensor G4,70 A,1125355
Snapdragon 8 Plus Gen 1,70 A,1297521
Tensor G3,66 A,1152535
Dimensity 9000 Plus,65 A,1114121
Snapdragon 8 Gen 1,65 A,1178353
A13 Bionic,63 B,891274
Snapdragon 7 Plus Gen 2,62 B,1123375
Exynos 2200,62 B,1129413
Dimensity 9000,61 B,1095289
Snapdragon 888 Plus,57 B,959410
Tensor G2,56 B,924798
Snapdragon 888,56 B,908074
Tensor,55 B,909498
Dimensity 8200,54 B,928567
Kirin 9000,54 B,901517
Exynos 2100,53 B,887359
Exynos 1580,52 B,841545
Dimensity 8100,52 B,855531
Kirin 9000S,51 B,950935
Dimensity 7350,50 B,753533
Kirin 9010,50 B,939616
Snapdragon 7 Gen 3,50 B,819055
Dimensity 8000,50 B,863025
Snapdragon 870,50 B,819673
Dimensity 1200,49 B,768498
A12 Bionic,49 B,694577
Dimensity 7200 Ultra,48 B,747554
Dimensity 8020,48 B,739422
Dimensity 7200,48 B,718185
Dimensity 1300,48 B,769022
Snapdragon 865 Plus,48 B,737495
Snapdragon 865,48 B,752754
Exynos 1480,47 B,734810
Dimensity 8050,47 B,756783
Dimensity 1100,47 B,744532
Snapdragon 7s Gen 3,46 B,685346
Dimensity 7300,45 B,679810
Snapdragon 782G,44 B,674056
Snapdragon 7 Gen 1,44 B,676092
Exynos 990,44 B,727249
Kirin 990 (5G),44 B,711940
Snapdragon 778G Plus,43 B,632700
Snapdragon 780G,43 B,633483
Snapdragon 860,43 B,638989
Dimensity 1000 Plus,43 B,582561
Snapdragon 855 Plus,43 B,618133
Snapdragon 7s Gen 2,42 B,600986
Snapdragon 778G,42 B,596988
Dimensity 7050,41 B,581421
Exynos 1380,41 B,595698
Snapdragon 855,41 B,603846
Dimensity 7030,40 B,526856
Snapdragon 6 Gen 1,40 B,551527
Dimensity 1080,40 B,543766
Dimensity 1050,40 B,562384
Exynos 9825,40 B,645378
A11 Bionic,40 B,488688
Dimensity 7025,39 B,488915
Dimensity 920,39 B,543020
Exynos 9820,39 B,613134
Dimensity 930,38 B,464386
Kirin 980,38 B,591363
Snapdragon 6s Gen 3,37 B,450490
Dimensity 7020,37 B,464473
Dimensity 900,37 B,511291
Dimensity 820,37 B,487164
T820,36 B,529699
Snapdragon 4 Gen 2,36 B,427069
Exynos 1330,36 B,438848
Kirin 820,36 B,494513
Exynos 1280,35 B,473779
Snapdragon 695,35 B,441737
Snapdragon 765G,35 B,437036
Helio G100,34 C,413018
Dimensity 6300,34 C,433407
Dimensity 6080,34 C,436846
Snapdragon 4 Gen 1,34 C,414048
Snapdragon 750G,34 C,393317
Dimensity 800,34 C,481286
Exynos 980,34 C,430012
Snapdragon 845,34 C,455674
T760,33 C,455959
Dimensity 6100 Plus,33 C,392912
Snapdragon 480 Plus,33 C,394850
Dimensity 810,33 C,421890
Snapdragon 732G,33 C,395728
Dimensity 800U,33 C,433106
Dimensity 720,33 C,388163
Snapdragon 720G,33 C,388260
Kirin 810,33 C,429415
Exynos 9810,33 C,470496
Dimensity 6020,32 C,402846
Helio G99,32 C,420233
Snapdragon 480,32 C,356931
Dimensity 700,32 C,387201
Snapdragon 690,32 C,382798
Snapdragon 730G,32 C,376385
Snapdragon 685,31 C,347813
Snapdragon 730,31 C,358532
Helio G96,30 C,384981
Helio G95,30 C,409894
Helio G90,30 C,368990
Helio G90T,30 C,375080
A10 Fusion,30 C,385540
Snapdragon 680,29 C,308738
Snapdragon 678,29 C,338231
Snapdragon 712,29 C,314968
Snapdragon 835,29 C,368607
Snapdragon 675,28 C,305830
Kirin 970,28 C,353467
Exynos 8895,28 C,372105
Helio P95,27 C,299534
Snapdragon 710,27 C,305175
Tiger T615,26 C,293010
Helio G91,26 C,283552
Tiger T618,26 C,271632
A9,26 C,332764
Snapdragon 670,26 C,250172
Helio P90,26 C,300868
Helio G81,25 C,245145
Tiger T612,25 C,245849
Tiger T616,25 C,292658
Helio G88,25 C,269916
Tiger T700,25 C,260484
Helio G85,25 C,265219
Snapdragon 662,25 C,242614
Helio G80,25 C,247951
Helio G70,25 C,246700
Exynos 9611,25 C,259746
Snapdragon 665,25 C,235828
T606,24 D,244702
Tiger T610,24 D,250277
Kirin 710F,24 D,251701
Helio P65,24 D,197929
Kirin 710A,23 D,238420
Exynos 850,23 D,185374
Snapdragon 460,23 D,196586
Helio P70,23 D,233983
Kirin 710,23 D,253773
Snapdragon 821,23 D,263454
Kirin 960,23 D,289944
Exynos 8890,23 D,305563
Exynos 9610,23 D,259923
Helio G36,22 D,136643
Helio G37,22 D,152974
Helio G35,22 D,145990
Helio P60,22 D,186518
Snapdragon 660,22 D,250302
Helio P35,22 D,147439
Snapdragon 632,22 D,182478
Helio G25,21 D,124787
Snapdragon 820,21 D,259958
Exynos 7904,21 D,161638
Exynos 7884B,20 D,151207
Exynos 7885,20 D,207882
Snapdragon 439,20 D,150067
Snapdragon 630,20 D,167245
Helio P22,20 D,122540
Snapdragon 636,20 D,212492
Helio A22,20 D,123031
Snapdragon 450,18 D,135122
